Gene,PC5,abs_PC5
GIMAP7,0.031096437768632648,0.031096437768632648
ITGAL,0.030727008695193427,0.030727008695193427
APOL3,0.030542889179288938,0.030542889179288938
CD48,0.030492262229481884,0.030492262229481884
SELL,0.030321588793414952,0.030321588793414952
SEPT1,0.030147717604681178,0.030147717604681178
TMC8,0.030103979699759573,0.030103979699759573
IL10RA,0.029968499405983336,0.029968499405983336
ARHGAP9,0.029868193829667558,0.029868193829667558
ARHGAP15,0.02966985998596713,0.02966985998596713
MAP4K1,0.029397295078294427,0.029397295078294427
SASH3,0.029379743229674134,0.029379743229674134
RAB37,0.029354695237527158,0.029354695237527158
GIMAP1,0.029201605735715622,0.029201605735715622
TBC1D10C,0.029139148089849087,0.029139148089849087
GIMAP6,0.029089523958119565,0.029089523958119565
C16orf54,0.02901389428468443,0.02901389428468443
P2RY8,0.029013103721803664,0.029013103721803664
GIMAP5,0.028960818707119907,0.028960818707119907
GZMK,0.0288691786534458,0.0288691786534458
NLRC3,0.028863953851744745,0.028863953851744745
CCR7,0.028741062998320157,0.028741062998320157
APOBEC3G,0.028677817717067823,0.028677817717067823
HCST,0.028566443091406775,0.028566443091406775
RASAL3,0.028526903890801154,0.028526903890801154
ZNF831,0.028430156945200086,0.028430156945200086
GMFG,0.028241664759740992,0.028241664759740992
CCDC69,0.028233339487717453,0.028233339487717453
GIMAP2,0.028211134712566723,0.028211134712566723
FGD2,0.028096047865258104,0.028096047865258104
KLRK1,0.028068640164590042,0.028068640164590042
GIMAP4,0.028057741454166864,0.028057741454166864
CD247,0.028022499582302306,0.028022499582302306
LRMP,0.027980945584805513,0.027980945584805513
ARHGAP25,0.027960548185904266,0.027960548185904266
AOAH,0.02791055325069384,0.02791055325069384
HCLS1,0.027895560642650637,0.027895560642650637
SCIMP,0.02785059460537806,0.02785059460537806
CD3E,0.027835122311523523,0.027835122311523523
WDFY4,0.02777755262879106,0.02777755262879106
LY9,0.027648577715059026,0.027648577715059026
TBX21,0.02763126657221705,0.02763126657221705
ACAP1,0.027596922384478067,0.027596922384478067
PTPN7,0.027568097677935756,0.027568097677935756
PTPRC,0.027566096454719115,0.027566096454719115
GZMA,0.027562378629788123,0.027562378629788123
CCR5,0.027501470547865822,0.027501470547865822
IRF8,0.027462209638633127,0.027462209638633127
SLA2,0.02743536395929659,0.02743536395929659
WAS,0.02737066473787956,0.02737066473787956
ITK,0.027331153974067574,0.027331153974067574
PRKCB,0.027308280841257124,0.027308280841257124
CD37,0.02730800494026925,0.02730800494026925
SLAMF6,0.027278244844322046,0.027278244844322046
CD52,0.02725680621634497,0.02725680621634497
CYTIP,0.027228518890892516,0.027228518890892516
AC119396.1,0.027161406386736822,0.027161406386736822
ADGRG5,0.027114576060422804,0.027114576060422804
NKG7,0.027076010277917714,0.027076010277917714
DENND1C,0.027048758974336454,0.027048758974336454
CD5,0.02704441507164893,0.02704441507164893
ZAP70,0.027036858440059812,0.027036858440059812
CARD11,0.027026436147040478,0.027026436147040478
C11orf21,0.026966866638972516,0.026966866638972516
PTK7,-0.026959112668174766,0.026959112668174766
BIN2,0.026904305877463404,0.026904305877463404
CD8A,0.026900328089838887,0.026900328089838887
CD2,0.026897931180170715,0.026897931180170715
TRAT1,0.0268837030694027,0.0268837030694027
PTPRCAP,0.02681122420655725,0.02681122420655725
THEMIS,0.026755979608164417,0.026755979608164417
ARHGAP30,0.026702489556099017,0.026702489556099017
EOMES,0.026623747782306514,0.026623747782306514
PLEK,0.026615940794293934,0.026615940794293934
TAGAP,0.02659095637950004,0.02659095637950004
SP140,0.026573622720973904,0.026573622720973904
PARVG,0.026550926566367358,0.026550926566367358
PTK2B,0.02653599373353442,0.02653599373353442
ARHGAP45,0.02651579239565802,0.02651579239565802
CD22,0.026495014551671362,0.026495014551671362
SCML4,0.026491616536995923,0.026491616536995923
SMAP2,0.026427920347725994,0.026427920347725994
XCR1,0.026417764956522403,0.026417764956522403
CD3D,0.026392875730134404,0.026392875730134404
PPP1R16B,0.02638988699782407,0.02638988699782407
FGL2,0.026380585083787544,0.026380585083787544
LCK,0.02637872003234574,0.02637872003234574
GPR18,0.0263693891087097,0.0263693891087097
RAC2,0.02634682369191247,0.02634682369191247
CORO1A,0.026337125683690267,0.026337125683690267
VAV1,0.026306120306930383,0.026306120306930383
FYB1,0.026263201953201032,0.026263201953201032
SH2D1A,0.02624701365231713,0.02624701365231713
EVI2B,0.026243681446043603,0.026243681446043603
PVRIG,0.026237261012826984,0.026237261012826984
TLR10,0.026236815653480915,0.026236815653480915
CD69,0.026203431191484154,0.026203431191484154
SIT1,0.026196483250709935,0.026196483250709935
IL2RB,0.026167798659020514,0.026167798659020514
NCKAP1L,0.026163750280832194,0.026163750280832194
