Gene,PC3,abs_PC3
C1R,0.02462294645283886,0.02462294645283886
FAM20A,0.024044709176019665,0.024044709176019665
HAPLN3,0.02318622640415246,0.02318622640415246
GYPC,0.02299929253616851,0.02299929253616851
GLIPR2,0.022819771661817097,0.022819771661817097
PLTP,0.022705980612992855,0.022705980612992855
SERPING1,0.022645804731715433,0.022645804731715433
C1S,0.022299227938672166,0.022299227938672166
LSP1,0.022172679997721278,0.022172679997721278
PIK3CD,0.022086295445392527,0.022086295445392527
ITM2C,0.021925340956440297,0.021925340956440297
TNFRSF1B,0.021912936850219174,0.021912936850219174
MSC,0.02179479532146251,0.02179479532146251
TNFRSF8,0.021684841866378108,0.021684841866378108
ACVRL1,0.021667688883785525,0.021667688883785525
JAK3,0.021563891066456172,0.021563891066456172
VSIR,0.021483782479567098,0.021483782479567098
CSF2RB,0.021353277796770733,0.021353277796770733
FYN,0.021335728391421175,0.021335728391421175
PRDM8,0.021305569981312965,0.021305569981312965
EMILIN1,0.021157416441589666,0.021157416441589666
DOK2,0.021133420462862984,0.021133420462862984
RAB7B,0.021131779776023308,0.021131779776023308
VAMP5,0.021118509450421947,0.021118509450421947
ARL4C,0.021018784152781505,0.021018784152781505
SIRPA,0.021018187076674463,0.021018187076674463
RASA3,0.020857977873139998,0.020857977873139998
ARHGAP31,0.020820752845469116,0.020820752845469116
MSN,0.020761863603360443,0.020761863603360443
FBLN2,0.020730372594306806,0.020730372594306806
RARRES2,0.020667187477173467,0.020667187477173467
ST3GAL2,0.02065778887421901,0.02065778887421901
NXN,0.02063540096506296,0.02063540096506296
ANXA1,0.020508972868800504,0.020508972868800504
FAM171A1,0.020467413994948898,0.020467413994948898
EMILIN2,0.020458271910938297,0.020458271910938297
PTGER4,0.020456250985954424,0.020456250985954424
EPHB6,0.020451258026727457,0.020451258026727457
IFFO1,0.0204416524620211,0.0204416524620211
EMP3,0.02044132539081665,0.02044132539081665
CAVIN1,0.02044117121382353,0.02044117121382353
VIM,0.02043934533017347,0.02043934533017347
RUNX3,0.02041890353263755,0.02041890353263755
HLA-E,0.020409341395165814,0.020409341395165814
CHST2,0.02035345650401672,0.02035345650401672
RGMA,0.020347236914549215,0.020347236914549215
CD40,0.020340461246366827,0.020340461246366827
PTGIR,0.020311972391531253,0.020311972391531253
FLNA,0.020278897281561837,0.020278897281561837
C1QTNF1,0.020272865267115157,0.020272865267115157
IL34,0.02026585604929238,0.02026585604929238
BACH2,0.020247375127637413,0.020247375127637413
TWIST2,0.02024515465581132,0.02024515465581132
FAM49A,0.020219140707499188,0.020219140707499188
KIFC3,0.020217835380288936,0.020217835380288936
MAP7D3,0.020207477757989846,0.020207477757989846
TLE4,0.020143221675782787,0.020143221675782787
RAB3IL1,0.020139204518054146,0.020139204518054146
SERPINF1,0.02012826328538809,0.02012826328538809
MRGPRF,0.020106794291589326,0.020106794291589326
FSCN1,0.020098600183242596,0.020098600183242596
PLEKHO1,0.02008015919394842,0.02008015919394842
ARHGAP30,0.020079113724942546,0.020079113724942546
PLAGL1,0.02007181288894886,0.02007181288894886
PIM1,0.020067676073688947,0.020067676073688947
PTGDS,0.020043674118728958,0.020043674118728958
S1PR4,0.020030968915738676,0.020030968915738676
CD248,0.020024040657136696,0.020024040657136696
MFNG,0.020023784734844875,0.020023784734844875
FUOM,0.020017835793369923,0.020017835793369923
PCOLCE,0.020011731465762357,0.020011731465762357
TRABD2A,0.019960598809499974,0.019960598809499974
ADAMTSL4,0.01993280484086383,0.01993280484086383
C17orf51,0.0199294725814701,0.0199294725814701
KIAA1755,0.019924912093369985,0.019924912093369985
JAML,0.019921199102035013,0.019921199102035013
PRF1,0.019831085161859392,0.019831085161859392
ADGRE5,0.019810957030647097,0.019810957030647097
FAM78A,0.019803299870340678,0.019803299870340678
MMP19,0.019799850360260936,0.019799850360260936
BOC,0.01978973905656769,0.01978973905656769
SPOCK2,0.019774712499149128,0.019774712499149128
HCST,0.019723342582601885,0.019723342582601885
PLCG2,0.019722124008523273,0.019722124008523273
CD79B,0.019709594585635443,0.019709594585635443
CPXM1,0.0197074027466476,0.0197074027466476
IL16,0.019705384907674865,0.019705384907674865
ANKS6,0.019687087748255033,0.019687087748255033
CST7,0.019683383968031452,0.019683383968031452
IL15RA,0.019682388554130004,0.019682388554130004
KIAA1614,0.019681573770974826,0.019681573770974826
PRKCA,0.01968061474055809,0.01968061474055809
GIMAP1,0.01967054206443233,0.01967054206443233
EGFR,0.01964012511618151,0.01964012511618151
CARD6,0.019590624941884367,0.019590624941884367
SPNS2,0.01958746608181034,0.01958746608181034
RASGRP2,0.01958329336828406,0.01958329336828406
FNDC4,0.01957858944671678,0.01957858944671678
WIPF1,0.019562275527940706,0.019562275527940706
ROR1,0.019561025525145933,0.019561025525145933
