Gene,PC4,abs_PC4
CCNA2,0.025428667317944693,0.025428667317944693
KIF2C,0.025337973003082583,0.025337973003082583
CCNB2,0.025306390235512313,0.025306390235512313
AURKB,0.025300386218792877,0.025300386218792877
TPX2,0.025228346743502463,0.025228346743502463
CDCA8,0.025195306176100475,0.025195306176100475
MCM10,0.02518879480642221,0.02518879480642221
BUB1,0.025164624897042746,0.025164624897042746
UBE2C,0.02516059546962979,0.02516059546962979
AURKA,0.02511618074435804,0.02511618074435804
CEP55,0.025091567119225142,0.025091567119225142
CENPA,0.02508437130500795,0.02508437130500795
MELK,0.02507336639369732,0.02507336639369732
CDC20,0.02506058685233797,0.02506058685233797
BIRC5,0.025057749379094857,0.025057749379094857
PTTG1,0.025019786016955602,0.025019786016955602
MYBL2,0.024899281070668477,0.024899281070668477
NCAPH,0.02465621419971056,0.02465621419971056
CDCA5,0.024612291981110694,0.024612291981110694
CDC25A,0.024488392104174105,0.024488392104174105
PLK1,0.024470374718598982,0.024470374718598982
ORC6,0.024462472547534763,0.024462472547534763
FOXM1,0.02444857798160093,0.02444857798160093
RRM2,0.02443000466309129,0.02443000466309129
NCAPG,0.024326017136393513,0.024326017136393513
NDC80,0.024240998790747346,0.024240998790747346
HJURP,0.024233234631724655,0.024233234631724655
TICRR,0.02413351938161734,0.02413351938161734
FAM83D,0.024014752218648898,0.024014752218648898
CDC45,0.024007731454430695,0.024007731454430695
SHCBP1,0.023964435944633895,0.023964435944633895
SGO1,0.023828255664103244,0.023828255664103244
ORC1,0.02380300649842352,0.02380300649842352
TRIP13,0.023786768488501107,0.023786768488501107
MTFR2,0.023714101862062142,0.023714101862062142
PRR11,0.023708200762903687,0.023708200762903687
FANCA,0.023636492468021027,0.023636492468021027
CCNE1,0.023626246069995305,0.023626246069995305
FAM72A,0.02361104025509877,0.02361104025509877
CDCA3,0.023591215857314933,0.023591215857314933
SKA3,0.023542266082784997,0.023542266082784997
CLSPN,0.02350660245165994,0.02350660245165994
EXO1,0.02345426679826873,0.02345426679826873
TTK,0.023435864359422156,0.023435864359422156
KIFC1,0.023409695752820286,0.023409695752820286
CKAP2L,0.023408746642120868,0.023408746642120868
KIF4A,0.023385827331970338,0.023385827331970338
TROAP,0.023359130829181753,0.023359130829181753
MAD2L1,0.023354139961562853,0.023354139961562853
UBE2T,0.023318602562920974,0.023318602562920974
DLGAP5,0.023309254965927034,0.023309254965927034
RAD54L,0.02327611797814764,0.02327611797814764
KPNA2,0.0232426924896983,0.0232426924896983
KIF18B,0.023168579866189334,0.023168579866189334
EZH2,0.023163929728650872,0.023163929728650872
TNS2,-0.02307573914943167,0.02307573914943167
RAD51,0.023042673657171674,0.023042673657171674
BUB1B,0.023014173393295836,0.023014173393295836
GTSE1,0.022997284906153097,0.022997284906153097
CENPN,0.022984062210703073,0.022984062210703073
E2F2,0.022983133325399217,0.022983133325399217
MKI67,0.022977386891421158,0.022977386891421158
ANLN,0.022971903794883432,0.022971903794883432
SCN4B,-0.02297080695062149,0.02297080695062149
IGF2,-0.02290906666308219,0.02290906666308219
ASPM,0.02289699129329879,0.02289699129329879
HASPIN,0.02289690202205051,0.02289690202205051
CHEK1,0.02289622151106859,0.02289622151106859
KIF20A,0.022886169205505104,0.022886169205505104
DEPDC1,0.022839844377047492,0.022839844377047492
CENPW,0.022826602322874815,0.022826602322874815
TRABD2B,-0.02281553529543584,0.02281553529543584
E2F8,0.022811403979180682,0.022811403979180682
KIF14,0.022774771903018028,0.022774771903018028
ZCCHC24,-0.022771910305716,0.022771910305716
STIL,0.022751806100846067,0.022751806100846067
BLM,0.02273956886374384,0.02273956886374384
CDK1,0.022733355073257144,0.022733355073257144
RAD51AP1,0.022696596549005615,0.022696596549005615
POLQ,0.022670411831171886,0.022670411831171886
SCN2B,-0.02255776374082721,0.02255776374082721
COL14A1,-0.022539804446805933,0.022539804446805933
SPAG5,0.022528195916569488,0.022528195916569488
DEPDC1B,0.022490253356918448,0.022490253356918448
SKA1,0.022451418209244633,0.022451418209244633
CCNB1,0.022451202212947753,0.022451202212947753
GPIHBP1,-0.02242036189636558,0.02242036189636558
KIF23,0.022398736474285554,0.022398736474285554
CDCA2,0.02239134479236927,0.02239134479236927
CDKN3,0.022337499385470277,0.022337499385470277
LMNB1,0.022307658504275726,0.022307658504275726
NUSAP1,0.02229736541481733,0.02229736541481733
PRC1,0.022290755408448222,0.022290755408448222
NUF2,0.022219999704358295,0.022219999704358295
CENPE,0.022121485155035755,0.022121485155035755
CENPI,0.022107843753678365,0.022107843753678365
KIF15,0.022032313903583765,0.022032313903583765
E2F1,0.02203117760870917,0.02203117760870917
CXCL10,0.022030389334362313,0.022030389334362313
ADAM33,-0.02198356110661888,0.02198356110661888
