Gene,PC2,abs_PC2
SCAND1,0.024463121193627372,0.024463121193627372
DOHH,0.024228150228374767,0.024228150228374767
SCAF1,0.02348941091874842,0.02348941091874842
TPGS1,0.02343261632833151,0.02343261632833151
NDUFS7,0.02338482183907007,0.02338482183907007
FBXL15,0.023287999226378274,0.023287999226378274
ATP5D,0.02325975317039588,0.02325975317039588
TMEM160,0.02323632667527711,0.02323632667527711
CCDC85B,0.02319943360001163,0.02319943360001163
JOSD2,0.023178224197684387,0.023178224197684387
CCDC124,0.023050298878032217,0.023050298878032217
AURKAIP1,0.023045706737951425,0.023045706737951425
MZT2B,0.022987507083207626,0.022987507083207626
NDUFB7,0.022985165775055945,0.022985165775055945
ZNHIT2,0.022953619761672768,0.022953619761672768
BRAT1,0.022742487076167096,0.022742487076167096
SPATA2L,0.022694358596916982,0.022694358596916982
TMUB1,0.02269429763024551,0.02269429763024551
EPN1,0.022682147630451188,0.022682147630451188
ZNF787,0.02253489343318164,0.02253489343318164
ALKBH7,0.022531151668359124,0.022531151668359124
ABHD17A,0.02248757624961889,0.02248757624961889
C19orf60,0.022433609172236583,0.022433609172236583
C9orf16,0.02241880682353881,0.02241880682353881
MCRIP2,0.022413354089079737,0.022413354089079737
SSNA1,0.02235527045093789,0.02235527045093789
ZNF444,0.02235309608857292,0.02235309608857292
CTU1,0.02231927591487721,0.02231927591487721
MIF,0.02226176898925587,0.02226176898925587
FAM173A,0.02224108523364231,0.02224108523364231
NUBP2,0.02223463654286007,0.02223463654286007
MBD3,0.02223372826366096,0.02223372826366096
DPP7,0.022211020078438493,0.022211020078438493
PPDPF,0.022209409231437674,0.022209409231437674
H1FX,0.02217817973385265,0.02217817973385265
ZDHHC12,0.022161366332789048,0.022161366332789048
MRPL41,0.022132235116282085,0.022132235116282085
ZNF837,0.022121003385814623,0.022121003385814623
ZNF414,0.022106183793651608,0.022106183793651608
NR1H2,0.022024436499478963,0.022024436499478963
COPE,0.02196675294374471,0.02196675294374471
TELO2,0.021899206334096512,0.021899206334096512
MIB2,0.02184552889323636,0.02184552889323636
ELOB,0.021806036796832767,0.021806036796832767
TP53I13,0.02174974378449563,0.02174974378449563
PIN1,0.0217364634760095,0.0217364634760095
C19orf24,0.02173110757983309,0.02173110757983309
SIVA1,0.021716300656572363,0.021716300656572363
HSPBP1,0.021715017449239926,0.021715017449239926
OXLD1,0.021706641434855616,0.021706641434855616
FKBP8,0.021680269175575285,0.021680269175575285
C14orf80,0.021644328365574547,0.021644328365574547
TIMM13,0.021640933433203363,0.021640933433203363
UQCC3,0.02163328502461847,0.02163328502461847
PAXX,0.02162645656752433,0.02162645656752433
RNF126,0.021592089684340496,0.021592089684340496
RBM42,0.02155694919577118,0.02155694919577118
NOC4L,0.02154997938389218,0.02154997938389218
NME3,0.021525917252661272,0.021525917252661272
ZNF524,0.021523217165853894,0.021523217165853894
ALDH16A1,0.021519957576974967,0.021519957576974967
APBA3,0.021508734225506875,0.021508734225506875
POLRMT,0.021487084173453023,0.021487084173453023
COMTD1,0.021483649681422894,0.021483649681422894
FBXW5,0.021481200274199145,0.021481200274199145
DPM3,0.02146919198276671,0.02146919198276671
E4F1,0.021434443375021494,0.021434443375021494
C19orf70,0.02143242874328762,0.02143242874328762
RABAC1,0.021420574537855244,0.021420574537855244
MAP3K11,0.02141863256248239,0.02141863256248239
LRRC24,0.021360712159547334,0.021360712159547334
TBL3,0.02135947273821603,0.02135947273821603
UBALD1,0.021350520273140303,0.021350520273140303
OGFOD2,0.021345900916061127,0.021345900916061127
ISOC2,0.021337428754491312,0.021337428754491312
KLF16,0.02133065066651131,0.02133065066651131
SLC39A3,0.021318890989014943,0.021318890989014943
PPP1R37,0.02131033121820758,0.02131033121820758
GALK1,0.02130242738145514,0.02130242738145514
WDR18,0.021265785069981204,0.021265785069981204
CLPP,0.021251304765610865,0.021251304765610865
TSR3,0.021243554614591063,0.021243554614591063
SLX1B,0.021230114103139994,0.021230114103139994
MED25,0.021229710749025306,0.021229710749025306
CAPN15,0.021212935472631773,0.021212935472631773
TMEM161A,0.02120118432777527,0.02120118432777527
SLC12A9,0.021192569668241665,0.021192569668241665
MFSD10,0.021174974378906548,0.021174974378906548
SSSCA1,0.02116733226393131,0.02116733226393131
ADAT3,0.021164945005127566,0.021164945005127566
SF3A2,0.0211637501356643,0.0211637501356643
BAD,0.02112050982217188,0.02112050982217188
IRF2BP1,0.021114116081381844,0.021114116081381844
SIRT6,0.021053509461148073,0.021053509461148073
FZR1,0.021052691786298434,0.021052691786298434
AP5Z1,0.021045971204363797,0.021045971204363797
NOSIP,0.021016291754207696,0.021016291754207696
MZT2A,0.021009272999732542,0.021009272999732542
RNF208,0.02100754540604882,0.02100754540604882
SHARPIN,0.021005151029487412,0.021005151029487412
